ts,camera,dur_2k,dur_7k,dur_diff,dur_match,ahash_dist,frame_match,path_2k,path_7k,ride_dir_2k,note,dur_diff_7k_minus_2k
20240429115320,front,381.766,381.8,0.0339999999999918,True,1.0,True,frodobots_data/output_rides_20/ride_37398_20240429115320/recordings/69a7ebff6b40f620be609ebb04cc650f_ride_37398__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_f6a757_20240429115320_front_camera.mp4,frodobots_data/output_rides_20/ride_37398_20240429115320,,0.033999999999991815
20240430072532,front,283.766,283.8,0.0339999999999918,True,1.0,True,frodobots_data/output_rides_20/ride_37771_20240430072532/recordings/6759649df14c857af95932bef457889d_ride_37771__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_f6a757_20240430072532_front_camera.mp4,frodobots_data/output_rides_20/ride_37771_20240430072532,,0.033999999999991815
20240430101627,front,415.416,415.45,0.0339999999999918,True,0.0,True,frodobots_data/output_rides_20/ride_37819_20240430101627/recordings/56898645134f122efc2a5eb1c12e3f67_ride_37819__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240430101627_front_camera.mp4,frodobots_data/output_rides_20/ride_37819_20240430101627,,0.033999999999991815
20240430110921,front,720.716,720.75,0.0339999999999918,True,1.0,True,frodobots_data/output_rides_20/ride_37838_20240430110921/recordings/35466f51e444b257bc4318a224cf1b2f_ride_37838__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240430110921_front_camera.mp4,frodobots_data/output_rides_20/ride_37838_20240430110921,,0.033999999999991815
20240430124101,front,1463.166,1463.2,0.0340000000001055,True,0.0,True,frodobots_data/output_rides_20/ride_37867_20240430124101/recordings/dfb2b135ce4d8324932841b994c3bb97_ride_37867__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_f6a757_20240430124101_front_camera.mp4,frodobots_data/output_rides_20/ride_37867_20240430124101,,0.0340000000001055
20240501093431,front,451.523,451.55,0.0269999999999868,True,1.0,True,frodobots_data/output_rides_21/ride_38551_20240501093431/recordings/0de3fb8312456a690a7f6785138121cd_ride_38551__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240501093431_front_camera.mp4,frodobots_data/output_rides_21/ride_38551_20240501093431,,0.026999999999986812
20240501103132,front,326.016,326.05,0.0339999999999918,True,0.0,True,frodobots_data/output_rides_21/ride_38578_20240501103132/recordings/f5c7cea1d54c30248c4235b61df93e51_ride_38578__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240501103132_front_camera.mp4,frodobots_data/output_rides_21/ride_38578_20240501103132,,0.033999999999991815
20240501125737,front,494.466,494.5,0.0339999999999918,True,0.0,True,frodobots_data/output_rides_21/ride_38614_20240501125737/recordings/95275c833f4afef467e426ac88383f04_ride_38614__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_f6a757_20240501125737_front_camera.mp4,frodobots_data/output_rides_21/ride_38614_20240501125737,,0.033999999999991815
20240501142423,front,387.816,387.85,0.0340000000000486,True,1.0,True,frodobots_data/output_rides_21/ride_38642_20240501142423/recordings/3a1a76d37f493dddc7279aa2739f0c07_ride_38642__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_f6a757_20240501142423_front_camera.mp4,frodobots_data/output_rides_21/ride_38642_20240501142423,,0.03400000000004866
20240502111936,front,313.916,313.95,0.0339999999999918,True,1.0,True,frodobots_data/output_rides_22/ride_39248_20240502111936/recordings/0866cacf1c43f33ca1e2a6a36d72f1bc_ride_39248__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_f6a757_20240502111936_front_camera.mp4,frodobots_data/output_rides_22/ride_39248_20240502111936,,0.033999999999991815
20240502115621,front,297.666,297.7,0.0339999999999918,True,2.0,True,frodobots_data/output_rides_22/ride_39267_20240502115621/recordings/e0bef9abd940ce9aa32b05b0a83b2385_ride_39267__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_f6a757_20240502115621_front_camera.mp4,frodobots_data/output_rides_22/ride_39267_20240502115621,,0.033999999999991815
