ts,camera,dur_2k,dur_7k,dur_diff,dur_match,ahash_dist,frame_match,path_2k,path_7k,ride_dir_2k,note
20240418070358,front,360.126999,360.15,0.023000999999965188,True,4,True,../frodobots/frodobots_data/output_rides_15/ride_32180_20240418070358/recordings/ad5979aee14439bb5128b2a228bd66a1_ride_32180__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_e9ebea_20240418070358_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32180_20240418070358,
20240418065148,front,208.366,208.4,0.033999999999991815,True,0,True,../frodobots/frodobots_data/output_rides_15/ride_32173_20240418065148/recordings/c6486585944d28c7e7596daaa02f8538_ride_32173__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_315200_20240418065148_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32173_20240418065148,
20240418070955,front,833.766,833.8,0.033999999999991815,True,1,True,../frodobots/frodobots_data/output_rides_15/ride_32187_20240418070955/recordings/11232b93d043a336ea0436b1b08d979f_ride_32187__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_dfac7a_20240418070955_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32187_20240418070955,
20240418073021,front,1020.159,1020.2,0.04100000000005366,True,1,True,../frodobots/frodobots_data/output_rides_15/ride_32200_20240418073021/recordings/e8e4d194a148c3d09579239a96d3c047_ride_32200__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_dfac7a_20240418073021_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32200_20240418073021,
20240418074247,front,1056.066,1056.1,0.03399999999987813,True,0,True,../frodobots/frodobots_data/output_rides_15/ride_32205_20240418074247/recordings/7f79d9a7d14c0a1c272d8ca3a5f4e745_ride_32205__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240418074247_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32205_20240418074247,
20240418074727,front,319.866,319.9,0.033999999999991815,True,1,True,../frodobots/frodobots_data/output_rides_15/ride_32206_20240418074727/recordings/91cf2765b34cd8e9ebd29c992b97b507_ride_32206__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_e9ebea_20240418074727_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32206_20240418074727,
20240418072357,front,346.116,346.15,0.033999999999991815,True,0,True,../frodobots/frodobots_data/output_rides_15/ride_32195_20240418072357/recordings/a61cb5413444f1c038296488b958bf59_ride_32195__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_e9ebea_20240418072357_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32195_20240418072357,
20240418072409,front,916.816,916.85,0.033999999999991815,True,0,True,../frodobots/frodobots_data/output_rides_15/ride_32196_20240418072409/recordings/138adc612e42a91276713c896e1f5427_ride_32196__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_315200_20240418072409_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32196_20240418072409,
20240418075318,front,327.816,327.85,0.03400000000004866,True,1,True,../frodobots/frodobots_data/output_rides_15/ride_32210_20240418075318/recordings/aa9a42bf5a429fa38f35298ac66d75e6_ride_32210__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_dfac7a_20240418075318_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32210_20240418075318,
20240418085247,front,12.466,12.5,0.034000000000000696,True,2,True,../frodobots/frodobots_data/output_rides_15/ride_32242_20240418085247/recordings/6b6e05aa1a4cc2f3cec8c18abd07fc26_ride_32242__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_470131_20240418085247_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32242_20240418085247,
20240418084805,front,18.816,18.85,0.03400000000000247,True,0,True,../frodobots/frodobots_data/output_rides_15/ride_32240_20240418084805/recordings/a442042f414c9b773d66699b29b45436_ride_32240__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_470131_20240418084805_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32240_20240418084805,
20240418080327,front,292.216,292.25,0.033999999999991815,True,1,True,../frodobots/frodobots_data/output_rides_15/ride_32217_20240418080327/recordings/ef889024894aff73743d96b17e296c3f_ride_32217__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240418080327_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32217_20240418080327,
20240418081026,front,1537.081999,1537.15,0.06800100000009479,True,1,True,../frodobots/frodobots_data/output_rides_15/ride_32221_20240418081026/recordings/dfa952a9ec4e36cbd49d57a6d3dc3107_ride_32221__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_e9ebea_20240418081026_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32221_20240418081026,
20240418084847,front,105.766,105.8,0.033999999999991815,True,0,True,../frodobots/frodobots_data/output_rides_15/ride_32241_20240418084847/recordings/477e4d103e46e62d11d183aaf7b7b146_ride_32241__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_470131_20240418084847_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32241_20240418084847,
20240418085402,front,155.516,155.55,0.034000000000020236,True,2,True,../frodobots/frodobots_data/output_rides_15/ride_32244_20240418085402/recordings/412259b28b4ae4b7e8b6c68897c99a82_ride_32244__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_470131_20240418085402_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32244_20240418085402,
20240418093512,front,135.316,135.35,0.033999999999991815,True,1,True,../frodobots/frodobots_data/output_rides_15/ride_32260_20240418093512/recordings/c2eec7c0384e2b84633692bca1ce646e_ride_32260__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_470131_20240418093512_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32260_20240418093512,
