ride_idx,ride_id,ride_ts,start_row,end_row,num_rows,path
13934,ride_12c9d5_20240708174157,20240708174157,70344251,70349877,5626,videos/ride_12c9d5_20240708174157_front_camera.mp4
13935,ride_36cc7a_20240709173457,20240709173457,70349877,70352635,2758,videos/ride_36cc7a_20240709173457_front_camera.mp4
13936,ride_80fb8a_20240707164038,20240707164038,70352635,70353113,478,videos/ride_80fb8a_20240707164038_front_camera.mp4
13937,ride_9e3881_20240709103407,20240709103407,70353113,70356753,3640,videos/ride_9e3881_20240709103407_front_camera.mp4
13938,ride_c8033c_20240709114846,20240709114846,70356753,70362338,5585,videos/ride_c8033c_20240709114846_front_camera.mp4
13939,ride_12c9d5_20240710115119,20240710115119,70362338,70366382,4044,videos/ride_12c9d5_20240710115119_front_camera.mp4
13940,ride_8b391d_20240707033231,20240707033231,70366382,70366700,318,videos/ride_8b391d_20240707033231_front_camera.mp4
13941,ride_9e3881_20240709164817,20240709164817,70366700,70374777,8077,videos/ride_9e3881_20240709164817_front_camera.mp4
13942,ride_36cc7a_20240709143913,20240709143913,70374777,70379554,4777,videos/ride_36cc7a_20240709143913_front_camera.mp4
13943,ride_8b391d_20240708033355,20240708033355,70379554,70383949,4395,videos/ride_8b391d_20240708033355_front_camera.mp4
13944,ride_40c2f4_20240710035438,20240710035438,70383949,70386732,2783,videos/ride_40c2f4_20240710035438_front_camera.mp4
13945,ride_63f508_20240709042459,20240709042459,70386732,70392166,5434,videos/ride_63f508_20240709042459_front_camera.mp4
13946,ride_84808b_20240708075704,20240708075704,70392166,70401682,9516,videos/ride_84808b_20240708075704_front_camera.mp4
13947,ride_8b391d_20240709042133,20240709042133,70401682,70409618,7936,videos/ride_8b391d_20240709042133_front_camera.mp4
13948,ride_ea1a8e_20240708035126,20240708035126,70409618,70413946,4328,videos/ride_ea1a8e_20240708035126_front_camera.mp4
13949,ride_3908a7_20240707051809,20240707051809,70413946,70423863,9917,videos/ride_3908a7_20240707051809_front_camera.mp4
13950,ride_80fb8a_20240709142819,20240709142819,70423863,70441961,18098,videos/ride_80fb8a_20240709142819_front_camera.mp4
13951,ride_b41757_20240708011533,20240708011533,70441961,70467755,25794,videos/ride_b41757_20240708011533_front_camera.mp4
13952,ride_40c2f4_20240708033927,20240708033927,70467755,70474032,6277,videos/ride_40c2f4_20240708033927_front_camera.mp4
13953,ride_43b7c1_20240710043946,20240710043946,70474032,70503109,29077,videos/ride_43b7c1_20240710043946_front_camera.mp4
13954,ride_63f508_20240707011404,20240707011404,70503109,70510088,6979,videos/ride_63f508_20240707011404_front_camera.mp4
13955,ride_c8033c_20240710135042,20240710135042,70510088,70520502,10414,videos/ride_c8033c_20240710135042_front_camera.mp4
13956,ride_12c9d5_20240709135302,20240709135302,70520502,70536656,16154,videos/ride_12c9d5_20240709135302_front_camera.mp4
13957,ride_8b391d_20240707020116,20240707020116,70536656,70540418,3762,videos/ride_8b391d_20240707020116_front_camera.mp4
13958,ride_ea1a8e_20240708235229,20240708235229,70540418,70545303,4885,videos/ride_ea1a8e_20240708235229_front_camera.mp4
13959,ride_ea1a8e_20240709034542,20240709034542,70545303,70549245,3942,videos/ride_ea1a8e_20240709034542_front_camera.mp4
13960,ride_84808b_20240710103946,20240710103946,70549245,70556131,6886,videos/ride_84808b_20240710103946_front_camera.mp4
13961,ride_80fb8a_20240709131607,20240709131607,70556131,70556709,578,videos/ride_80fb8a_20240709131607_front_camera.mp4
13962,ride_7437e7_20240710035807,20240710035807,70556709,70567012,10303,videos/ride_7437e7_20240710035807_front_camera.mp4
13963,ride_1083d8_20240710111712,20240710111712,70567012,70568048,1036,videos/ride_1083d8_20240710111712_front_camera.mp4
13964,ride_80fb8a_20240710174308,20240710174308,70568048,70591445,23397,videos/ride_80fb8a_20240710174308_front_camera.mp4
13965,ride_3908a7_20240709021432,20240709021432,70591445,70603265,11820,videos/ride_3908a7_20240709021432_front_camera.mp4
13966,ride_40c2f4_20240707032355,20240707032355,70603265,70609064,5799,videos/ride_40c2f4_20240707032355_front_camera.mp4
13967,ride_d7d93b_20240708005919,20240708005919,70609064,70616584,7520,videos/ride_d7d93b_20240708005919_front_camera.mp4
13968,ride_926131_20240709124835,20240709124835,70616584,70619726,3142,videos/ride_926131_20240709124835_front_camera.mp4
