scene,model,dino_drift
r30,ours_nocritic,0.1611
r30,ours_pca2,0.1623
r30,ours_pca4,0.1317
r30,ours_pca8,0.1137
r30,worldcam,0.2145
r30,worldplay,0.1131
r30,yume,0.3921
r31,astra,0.4095
r31,matrixgame,0.358
r31,minwm,0.4872
r31,ours_16node,0.1391
r31,ours_4node,0.1421
r31,ours_noadaln,0.1593
r31,ours_noatok,0.1483
r31,ours_nocritic,0.1651
r31,ours_pca2,0.1167
r31,ours_pca4,0.1219
r31,ours_pca8,0.1521
r31,worldcam,0.1831
r31,worldplay,0.2339
r31,yume,0.3367
