scene,model,base_blur,end_blur,d_blur,x_blur,B
r15,ours_noadaln,1112.0,843.1,-268.9,-456.45,456.45
r15,ours_noatok,1455.0,1621.1,166.0,-21.55000000000001,21.55000000000001
r15,ours_nocritic,1522.4,1616.2,93.8,-93.75000000000001,93.75000000000001
r15,ours_pca2,1549.0,1986.2,437.2,249.64999999999998,-249.64999999999998
r15,ours_pca4,1623.2,2219.6,596.5,408.95,-408.95
r15,ours_pca8,1520.6,1795.1,274.5,86.94999999999999,-86.94999999999999
r15,worldcam,2001.6,1742.6,-259.0,-446.55,446.55
r15,worldplay,1649.7,1858.8,209.1,21.549999999999983,-21.549999999999983
r15,yume,1277.7,1622.8,345.1,157.55,-157.55
r16,astra,388.4,337.4,-51.1,-167.75,167.75
r16,matrixgame,326.4,402.5,76.1,-40.55000000000001,40.55000000000001
r16,minwm,639.0,800.1,161.1,44.44999999999999,-44.44999999999999
r16,ours_16node,583.8,816.0,232.2,115.54999999999998,-115.54999999999998
r16,ours_4node,487.1,546.9,59.7,-56.95,56.95
r16,ours_noadaln,491.2,581.3,90.1,-26.55000000000001,26.55000000000001
r16,ours_noatok,526.3,641.4,115.0,-1.6500000000000057,1.6500000000000057
r16,ours_nocritic,548.5,666.4,117.9,1.25,-1.25
r16,ours_pca2,517.8,672.4,154.6,37.94999999999999,-37.94999999999999
r16,ours_pca4,587.6,869.4,281.8,165.15,-165.15
r16,ours_pca8,557.8,806.3,248.5,131.85,-131.85
r16,worldcam,878.7,1035.5,156.8,40.150000000000006,-40.150000000000006
r16,worldplay,570.4,685.8,115.4,-1.25,1.25
r16,yume,427.5,416.3,-11.3,-127.95,127.95
r17,astra,240.1,1093.7,853.6,740.85,-740.85
r17,matrixgame,547.5,614.6,67.1,-45.650000000000006,45.650000000000006
r17,minwm,905.9,1032.1,126.2,13.450000000000003,-13.450000000000003
r17,ours_16node,901.8,1129.6,227.8,115.05000000000001,-115.05000000000001
r17,ours_4node,702.7,627.0,-75.7,-188.45,188.45
r17,ours_noadaln,728.5,827.7,99.3,-13.450000000000003,13.450000000000003
r17,ours_noatok,843.3,972.6,129.3,16.55000000000001,-16.55000000000001
r17,ours_nocritic,807.7,936.6,128.9,16.150000000000006,-16.150000000000006
r17,ours_pca2,807.1,898.9,91.8,-20.950000000000003,20.950000000000003
r17,ours_pca4,935.6,1256.6,321.1,208.35000000000002,-208.35000000000002
r17,ours_pca8,861.5,1062.1,200.5,87.75,-87.75
r17,worldcam,1141.4,999.2,-142.2,-254.95,254.95
r17,worldplay,1236.7,1235.8,-1.0,-113.75,113.75
r17,yume,727.3,687.4,-39.9,-152.65,152.65
r18,astra,185.3,295.1,109.8,84.4,-84.4
r18,matrixgame,112.5,172.7,60.2,34.800000000000004,-34.800000000000004
r18,minwm,288.0,301.9,13.9,-11.499999999999998,11.499999999999998
r18,ours_16node,225.3,267.6,42.3,16.9,-16.9
r18,ours_4node,210.5,231.7,21.1,-4.299999999999997,4.299999999999997
r18,ours_noadaln,207.6,212.5,5.0,-20.4,20.4
r18,ours_noatok,209.3,209.8,0.5,-24.9,24.9
r18,ours_nocritic,216.7,238.9,22.1,-3.299999999999997,3.299999999999997
r18,ours_pca2,217.3,239.6,22.3,-3.099999999999998,3.099999999999998
r18,ours_pca4,218.5,249.7,31.2,5.800000000000001,-5.800000000000001
r18,ours_pca8,217.5,241.3,23.8,-1.5999999999999979,1.5999999999999979
r18,worldcam,353.1,504.0,150.9,125.5,-125.5
r18,worldplay,261.4,288.3,27.0,1.6000000000000014,-1.6000000000000014
r18,yume,205.1,339.1,134.1,108.69999999999999,-108.69999999999999
r19,astra,130.1,175.1,45.0,-43.3,43.3
r19,matrixgame,179.3,253.8,74.5,-13.799999999999997,13.799999999999997
r19,minwm,282.3,347.6,65.3,-23.0,23.0
r19,ours_16node,325.9,500.6,174.7,86.39999999999999,-86.39999999999999
r19,ours_4node,257.0,325.8,68.8,-19.5,19.5
r19,ours_noadaln,214.5,152.9,-61.6,-149.9,149.9
r19,ours_noatok,285.1,338.8,53.7,-34.599999999999994,34.599999999999994
r19,ours_nocritic,288.9,391.1,102.1,13.799999999999997,-13.799999999999997
r19,ours_pca2,285.5,389.0,103.5,15.200000000000003,-15.200000000000003
r19,ours_pca4,279.9,412.5,132.7,44.39999999999999,-44.39999999999999
r19,ours_pca8,300.4,423.0,122.6,34.3,-34.3
r19,worldcam,536.0,653.6,117.6,29.299999999999997,-29.299999999999997
r19,worldplay,335.1,406.6,71.5,-16.799999999999997,16.799999999999997
r19,yume,360.9,484.9,124.0,35.7,-35.7
r20,astra,904.7,1187.4,282.7,124.89999999999998,-124.89999999999998
r20,matrixgame,491.7,578.2,86.5,-71.30000000000001,71.30000000000001
r20,minwm,1270.6,1304.8,34.2,-123.60000000000001,123.60000000000001
r20,ours_16node,1545.5,2039.2,493.6,335.8,-335.8
r20,ours_4node,1484.1,1803.9,319.9,162.09999999999997,-162.09999999999997
r20,ours_noadaln,1130.5,324.8,-805.7,-963.5,963.5
r20,ours_noatok,1436.0,1485.8,49.8,-108.00000000000001,108.00000000000001
r20,ours_nocritic,1466.2,1658.5,192.4,34.599999999999994,-34.599999999999994
r20,ours_pca2,1478.3,1759.4,281.1,123.30000000000001,-123.30000000000001
r20,ours_pca4,1531.7,1786.0,254.2,96.39999999999998,-96.39999999999998
r20,ours_pca8,1517.7,1778.6,260.8,103.0,-103.0
r20,worldcam,1689.6,1433.3,-256.3,-414.1,414.1
r20,worldplay,1400.2,1384.0,-16.2,-174.0,174.0
r20,yume,882.0,1005.2,123.2,-34.60000000000001,34.60000000000001
r21,astra,13.6,25.9,12.2,8.1,-8.1
r21,matrixgame,32.0,57.0,25.0,20.9,-20.9
r21,minwm,53.8,107.0,53.2,49.1,-49.1
r21,ours_16node,29.3,33.1,3.8,-0.2999999999999998,0.2999999999999998
r21,ours_4node,24.7,21.7,-3.0,-7.1,7.1
r21,ours_noadaln,21.0,12.3,-8.6,-12.7,12.7
r21,ours_noatok,23.6,22.9,-0.7,-4.8,4.8
r21,ours_nocritic,27.7,32.2,4.5,0.40000000000000036,-0.40000000000000036
r21,ours_pca2,28.2,30.1,1.8,-2.3,2.3
r21,ours_pca4,21.0,24.3,3.3,-0.7999999999999998,0.7999999999999998
r21,ours_pca8,19.7,18.6,-1.1,-5.199999999999999,5.199999999999999
r21,worldcam,31.8,36.2,4.4,0.3000000000000007,-0.3000000000000007
r21,worldplay,26.4,42.1,15.7,11.6,-11.6
r21,yume,103.1,206.4,103.3,99.2,-99.2
r22,astra,1268.0,1578.5,310.5,187.75,-187.75
r22,matrixgame,521.9,696.8,174.9,52.150000000000006,-52.150000000000006
r22,minwm,1233.2,1286.3,53.1,-69.65,69.65
r22,ours_16node,1748.8,2218.7,469.8,347.05,-347.05
r22,ours_4node,1534.2,1587.9,53.6,-69.15,69.15
r22,ours_noadaln,1435.5,848.7,-586.8,-709.55,709.55
r22,ours_noatok,1588.1,1735.6,147.4,24.650000000000006,-24.650000000000006
r22,ours_nocritic,1686.0,1897.8,211.8,89.05000000000001,-89.05000000000001
