scene,model,dino_drift
r30_L,ours_nocritic,0.168
r30_R,ours_nocritic,0.5443
r31_B,ours_nocritic,0.1523
r31_BL,ours_nocritic,0.1714
r31_BR,ours_nocritic,0.2073
r31_F,ours_nocritic,0.2058
r31_FL,ours_nocritic,0.1861
r31_FR,ours_nocritic,0.1892
r31_L,ours_nocritic,0.1766
r31_R,ours_nocritic,0.1651
