uid,model,scene,n,fps,ctx,flag,n_events,score,cls,birth,birth_s,branch,onset,zprobe,bncc,box
ours_noadaln_r09_L,ours_noadaln,r09_L,108,16.0,12,0,0,,,,,,,,,
astra_r09_R,astra,r09_R,125,20.0,4,0,0,,,,,,,,,
matrixgame_r09_R,matrixgame,r09_R,152,25.0,1,0,0,,,,,,,,,
minwm_r09_R,minwm,r09_R,77,16.0,13,0,0,,,,,,,,,
worldcam_r09_R,worldcam,r09_R,241,30.0,65,0,0,,,,,,,,,
worldplay_r09_R,worldplay,r09_R,146,24.0,1,0,0,,,,,,,,,
yume_r09_R,yume,r09_R,98,16.0,1,0,0,,,,,,,,,
ours_pca8_r09_R,ours_pca8,r09_R,108,16.0,12,0,0,,,,,,,,,
ours_pca4_r09_R,ours_pca4,r09_R,108,16.0,12,0,0,,,,,,,,,
ours_pca2_r09_R,ours_pca2,r09_R,108,16.0,12,0,0,,,,,,,,,
ours_16node_r09_R,ours_16node,r09_R,108,16.0,12,0,0,,,,,,,,,
ours_4node_r09_R,ours_4node,r09_R,108,16.0,12,0,0,,,,,,,,,
ours_noatok_r09_R,ours_noatok,r09_R,108,16.0,12,0,0,,,,,,,,,
ours_noadaln_r09_R,ours_noadaln,r09_R,108,16.0,12,0,0,,,,,,,,,
astra_r10_B,astra,r10_B,125,20.0,4,0,0,,,,,,,,,
matrixgame_r10_B,matrixgame,r10_B,152,25.0,1,0,0,,,,,,,,,
minwm_r10_B,minwm,r10_B,77,16.0,13,1,1,0.36,truck,14.0,0.06,A,17.5,0.32,0.28,"[418.0, 230.5, 498.0, 310.8]"
worldcam_r10_B,worldcam,r10_B,241,30.0,65,0,0,,,,,,,,,
worldplay_r10_B,worldplay,r10_B,146,24.0,1,0,0,,,,,,,,,
yume_r10_B,yume,r10_B,98,16.0,1,0,0,-0.71,truck,40.0,2.44,B,0.88,0.39,0.99,"[760.1, 351.8, 819.6, 408.4]"
ours_pca8_r10_B,ours_pca8,r10_B,108,16.0,12,0,0,,,,,,,,,
ours_pca4_r10_B,ours_pca4,r10_B,108,16.0,12,1,1,0.05,truck,37.0,1.56,A,5.24,0.3,0.62,"[461.7, 217.4, 491.0, 248.2]"
ours_pca2_r10_B,ours_pca2,r10_B,108,16.0,12,0,0,,,,,,,,,
ours_16node_r10_B,ours_16node,r10_B,108,16.0,12,0,0,,,,,,,,,
ours_4node_r10_B,ours_4node,r10_B,108,16.0,12,0,0,-0.4,truck,12.0,0.0,B,2.79,0.54,0.96,"[495.3, 213.3, 530.1, 248.7]"
ours_noatok_r10_B,ours_noatok,r10_B,108,16.0,12,0,0,,,,,,,,,
ours_noadaln_r10_B,ours_noadaln,r10_B,108,16.0,12,0,0,,,,,,,,,
astra_r10_BL,astra,r10_BL,125,20.0,4,0,0,-0.23,truck,6.0,0.1,B,2.3,0.38,0.92,"[493.5, 245.0, 532.3, 281.5]"
matrixgame_r10_BL,matrixgame,r10_BL,152,25.0,1,0,0,,,,,,,,,
minwm_r10_BL,minwm,r10_BL,77,16.0,13,0,0,-0.22,truck,17.0,0.25,B,3.0,0.6,0.93,"[493.9, 245.5, 531.3, 281.0]"
worldcam_r10_BL,worldcam,r10_BL,241,30.0,65,0,0,,,,,,,,,
worldplay_r10_BL,worldplay,r10_BL,146,24.0,1,0,0,,,,,,,,,
yume_r10_BL,yume,r10_BL,98,16.0,1,0,0,,,,,,,,,
ours_pca8_r10_BL,ours_pca8,r10_BL,108,16.0,12,0,0,,,,,,,,,
ours_pca4_r10_BL,ours_pca4,r10_BL,108,16.0,12,0,0,,,,,,,,,
ours_pca2_r10_BL,ours_pca2,r10_BL,108,16.0,12,0,0,,,,,,,,,
ours_16node_r10_BL,ours_16node,r10_BL,108,16.0,12,0,0,,,,,,,,,
ours_4node_r10_BL,ours_4node,r10_BL,108,16.0,12,0,0,,,,,,,,,
ours_noatok_r10_BL,ours_noatok,r10_BL,108,16.0,12,0,0,,,,,,,,,
ours_noadaln_r10_BL,ours_noadaln,r10_BL,108,16.0,12,0,0,,,,,,,,,
astra_r10_BR,astra,r10_BR,125,20.0,4,0,0,-0.51,truck,13.0,0.45,A,3.31,0.44,0.98,"[494.3, 245.4, 531.6, 281.3]"
matrixgame_r10_BR,matrixgame,r10_BR,152,25.0,1,0,0,,,,,,,,,
minwm_r10_BR,minwm,r10_BR,77,16.0,13,1,1,0.07,car,19.0,0.38,B,3.78,0.68,0.84,"[493.4, 243.7, 535.5, 280.6]"
worldcam_r10_BR,worldcam,r10_BR,241,30.0,65,0,0,-0.54,car,154.0,2.97,A,2.31,0.19,0.87,"[587.0, 297.9, 728.4, 348.9]"
worldplay_r10_BR,worldplay,r10_BR,146,24.0,1,0,0,,,,,,,,,
yume_r10_BR,yume,r10_BR,98,16.0,1,0,0,,,,,,,,,
ours_pca8_r10_BR,ours_pca8,r10_BR,108,16.0,12,0,0,,,,,,,,,
ours_pca4_r10_BR,ours_pca4,r10_BR,108,16.0,12,0,0,-0.48,truck,35.0,1.44,A,4.2,0.63,0.96,"[414.2, 220.4, 448.7, 255.5]"
ours_pca2_r10_BR,ours_pca2,r10_BR,108,16.0,12,0,0,,,,,,,,,
ours_16node_r10_BR,ours_16node,r10_BR,108,16.0,12,0,0,,,,,,,,,
ours_4node_r10_BR,ours_4node,r10_BR,108,16.0,12,0,0,,,,,,,,,
ours_noatok_r10_BR,ours_noatok,r10_BR,108,16.0,12,0,0,,,,,,,,,
ours_noadaln_r10_BR,ours_noadaln,r10_BR,108,16.0,12,0,0,-0.33,truck,13.0,0.06,B,3.24,0.52,0.96,"[497.0, 213.3, 532.9, 249.1]"
astra_r10_F,astra,r10_F,125,20.0,4,0,0,,,,,,,,,
matrixgame_r10_F,matrixgame,r10_F,152,25.0,1,0,0,,,,,,,,,
minwm_r10_F,minwm,r10_F,77,16.0,13,0,0,-0.33,truck,16.0,0.19,B,2.69,0.62,0.95,"[493.7, 245.3, 531.0, 281.5]"
worldcam_r10_F,worldcam,r10_F,241,30.0,65,0,0,,,,,,,,,
worldplay_r10_F,worldplay,r10_F,146,24.0,1,0,0,-0.76,truck,3.0,0.08,B,0.73,0.37,0.93,"[493.7, 243.8, 533.2, 281.5]"
yume_r10_F,yume,r10_F,98,16.0,1,0,0,-0.89,truck,20.0,1.19,B,0.33,0.61,0.98,"[763.0, 357.3, 821.1, 410.2]"
ours_pca8_r10_F,ours_pca8,r10_F,108,16.0,12,0,0,-0.26,truck,12.0,0.0,B,5.1,0.65,0.96,"[495.6, 214.4, 530.4, 250.0]"
ours_pca4_r10_F,ours_pca4,r10_F,108,16.0,12,0,0,,,,,,,,,
ours_pca2_r10_F,ours_pca2,r10_F,108,16.0,12,0,0,-0.07,truck,17.0,0.31,B,5.32,0.59,0.97,"[498.9, 214.6, 533.4, 250.7]"
ours_16node_r10_F,ours_16node,r10_F,108,16.0,12,0,0,,,,,,,,,
ours_4node_r10_F,ours_4node,r10_F,108,16.0,12,0,0,-0.33,truck,12.0,0.0,B,4.43,0.63,0.93,"[495.9, 213.5, 530.4, 249.8]"
ours_noatok_r10_F,ours_noatok,r10_F,108,16.0,12,0,0,-0.03,truck,14.0,0.12,A,6.08,0.23,0.67,"[466.6, 214.4, 496.6, 245.9]"
ours_noadaln_r10_F,ours_noadaln,r10_F,108,16.0,12,0,0,,,,,,,,,
astra_r10_FL,astra,r10_FL,125,20.0,4,0,0,-0.18,truck,13.0,0.45,B,2.45,0.57,0.94,"[494.3, 245.0, 532.1, 281.2]"
matrixgame_r10_FL,matrixgame,r10_FL,152,25.0,1,0,0,,,,,,,,,
minwm_r10_FL,minwm,r10_FL,77,16.0,13,0,0,-0.36,truck,29.0,1.0,A,3.18,0.54,0.87,"[460.9, 248.7, 492.1, 279.0]"
worldcam_r10_FL,worldcam,r10_FL,241,30.0,65,0,0,,,,,,,,,
worldplay_r10_FL,worldplay,r10_FL,146,24.0,1,0,0,,,,,,,,,
yume_r10_FL,yume,r10_FL,98,16.0,1,0,0,-0.48,car,91.0,5.62,B,2.46,0.92,0.97,"[625.4, 368.2, 742.1, 482.5]"
ours_pca8_r10_FL,ours_pca8,r10_FL,108,16.0,12,0,0,,,,,,,,,
ours_pca4_r10_FL,ours_pca4,r10_FL,108,16.0,12,0,0,,,,,,,,,
ours_pca2_r10_FL,ours_pca2,r10_FL,108,16.0,12,0,0,,,,,,,,,
ours_16node_r10_FL,ours_16node,r10_FL,108,16.0,12,0,0,-0.22,truck,36.0,1.5,B,5.05,0.8,0.91,"[523.2, 217.5, 561.6, 255.2]"
ours_4node_r10_FL,ours_4node,r10_FL,108,16.0,12,0,0,,,,,,,,,
ours_noatok_r10_FL,ours_noatok,r10_FL,108,16.0,12,0,0,,,,,,,,,
ours_noadaln_r10_FL,ours_noadaln,r10_FL,108,16.0,12,0,0,,,,,,,,,
astra_r10_FR,astra,r10_FR,125,20.0,4,0,0,-0.57,truck,5.0,0.05,A,2.15,0.34,0.91,"[493.3, 245.0, 532.3, 281.5]"
matrixgame_r10_FR,matrixgame,r10_FR,152,25.0,1,0,0,,,,,,,,,
minwm_r10_FR,minwm,r10_FR,77,16.0,13,1,1,0.65,car,13.0,0.0,A,13.13,0.0,0.23,"[397.9, 257.2, 482.9, 313.9]"
worldcam_r10_FR,worldcam,r10_FR,241,30.0,65,0,0,,,,,,,,,
worldplay_r10_FR,worldplay,r10_FR,146,24.0,1,0,0,,,,,,,,,
yume_r10_FR,yume,r10_FR,98,16.0,1,0,0,-0.3,truck,81.0,5.0,A,3.52,0.63,0.49,"[843.7, 346.4, 910.5, 403.2]"
ours_pca8_r10_FR,ours_pca8,r10_FR,108,16.0,12,0,0,-0.23,truck,25.0,0.81,A,3.85,0.35,0.65,"[436.3, 218.1, 466.8, 249.9]"
ours_pca4_r10_FR,ours_pca4,r10_FR,108,16.0,12,0,0,,,,,,,,,
ours_pca2_r10_FR,ours_pca2,r10_FR,108,16.0,12,0,0,,,,,,,,,
ours_16node_r10_FR,ours_16node,r10_FR,108,16.0,12,0,0,,,,,,,,,
