model,window,dir,recession,rot,tx,g0,g1,g2,g3,g4,g5,g6,g7
pca8_8node,4,BR,1.64,9.45,-309.8,-0.1124,0.4592,0.3621,0.2086,-0.1346,0.0619,-0.1225,0.161
pca8_8node,4,B,23.81,0.92,108.5,-0.1942,-0.0102,0.2966,-0.2543,-0.1009,0.2114,0.0465,0.0096
pca8_8node,4,BL,35.41,-4.77,369.7,-0.2452,-0.3354,0.2211,-0.4437,-0.1207,0.303,0.1395,-0.1545
pca8_8node,4,L,16.41,-7.67,499.5,-0.0281,-0.6773,-0.2106,-0.3259,0.2149,0.0839,0.1756,0.0161
pca8_8node,4,FL,-31.37,-4.41,110.0,0.3354,-0.4074,-0.3795,-0.1748,-0.0807,-0.0544,0.21,0.1999
pca8_8node,5,F,-15.36,0.7,-47.3,0.1047,-0.1477,-0.019,0.3944,0.1711,0.1967,-0.1916,0.2178
pca8_8node,5,FR,-28.37,6.28,-295.5,0.1945,0.332,0.0346,0.0345,0.188,0.2306,-0.4137,0.1547
pca8_8node,5,R,-45.87,8.34,-650.6,0.0853,0.5716,0.185,0.1614,-0.1227,0.3953,-0.1737,0.0338
pca8_8node,5,BR,-27.88,5.8,-539.5,0.0269,0.4731,0.3506,-0.0532,-0.1661,0.3727,-0.4183,-0.1293
pca8_8node,5,B,-3.5,2.92,-79.7,-0.023,0.0378,0.0705,0.0802,-0.0635,0.0388,0.0246,-0.0294
pca8_8node,5,BL,30.42,-2.02,331.9,-0.1472,-0.2971,0.3439,-0.2666,-0.2322,0.0345,-0.1728,-0.2974
pca8_8node,5,L,-4.95,-3.4,472.3,-0.0274,-0.6107,-0.1019,-0.0722,0.0425,0.0411,0.0857,0.004
pca8_8node,5,FL,-17.0,-3.05,125.1,0.265,-0.4328,-0.0146,0.4609,-0.0667,0.106,0.3812,0.0578
pca8_8node,6,F,-18.09,-0.6,-72.4,0.1452,-0.0398,-0.0472,0.4256,0.1211,0.0181,-0.2701,-0.0605
pca8_8node,6,FR,-22.94,4.98,-315.6,0.3738,0.555,-0.4279,0.4711,0.107,0.2196,-0.111,-0.4371
pca8_8node,6,R,-8.11,6.5,-393.5,0.0258,0.5849,0.2048,0.3445,-0.1621,0.0855,0.2006,-0.0303
pca8_8node,6,BR,16.05,9.28,-285.7,-0.1025,0.448,0.4546,0.0059,-0.4011,0.2849,-0.0041,-0.1184
