scene,model,dino_drift
r03_BL,worldcam,0.7616
r03_BL,worldplay,0.3509
r03_BL,yume,0.5925
r03_BL,ours_pca8,0.3459
r03_BL,ours_pca4,0.3602
r03_BL,ours_pca2,0.4113
r03_BL,ours_16node,0.3136
r03_BL,ours_4node,0.5867
r03_BL,ours_noatok,0.4029
r03_BL,ours_noadaln,0.4418
r03_BR,astra,0.7861
r03_BR,matrixgame,0.965
r03_BR,minwm,0.2887
r03_BR,worldcam,0.8221
r03_BR,worldplay,0.5793
r03_BR,yume,0.5784
r03_BR,ours_pca8,0.5948
r03_BR,ours_pca4,0.5836
r03_BR,ours_pca2,0.5684
r03_BR,ours_16node,0.4921
r03_BR,ours_4node,0.6456
r03_BR,ours_noatok,0.6749
r03_BR,ours_noadaln,0.7743
r03_F,astra,0.6746
r03_F,matrixgame,0.3682
r03_F,minwm,0.1477
r03_F,worldcam,0.2076
r03_F,worldplay,0.3693
r03_F,yume,0.6295
r03_F,ours_pca8,0.7637
r03_F,ours_pca4,0.6993
r03_F,ours_pca2,0.4826
r03_F,ours_16node,0.7989
r03_F,ours_4node,0.7225
r03_F,ours_noatok,0.4539
r03_F,ours_noadaln,0.3541
r03_FL,astra,0.5942
r03_FL,matrixgame,1.0049
r03_FL,minwm,0.1778
r03_FL,worldcam,0.795
r03_FL,worldplay,0.7004
r03_FL,yume,0.837
r03_FL,ours_pca8,0.7491
r03_FL,ours_pca4,0.7731
r03_FL,ours_pca2,0.5511
r03_FL,ours_16node,0.7696
r03_FL,ours_4node,0.7462
r03_FL,ours_noatok,0.7368
r03_FL,ours_noadaln,0.4362
r03_FR,astra,0.3518
r03_FR,matrixgame,0.7968
r03_FR,minwm,0.3861
r03_FR,worldcam,0.7592
r03_FR,worldplay,0.4808
r03_FR,yume,0.9566
r03_FR,ours_pca8,0.5996
r03_FR,ours_pca4,0.8278
r03_FR,ours_pca2,0.6577
r03_FR,ours_16node,0.4912
r03_FR,ours_4node,0.7726
r03_FR,ours_noatok,0.7846
r03_FR,ours_noadaln,0.7261
r03_L,astra,0.1558
r03_L,matrixgame,1.0163
r03_L,minwm,0.2779
r03_L,worldcam,0.79
r03_L,worldplay,0.5529
r03_L,yume,0.7784
r03_L,ours_pca8,0.543
r03_L,ours_pca4,0.6956
r03_L,ours_pca2,0.5727
r03_L,ours_16node,0.4963
r03_L,ours_4node,0.6507
r03_L,ours_noatok,0.7264
