model,scene,direction,feature_valid,static_inliers,static,active
4node,r26_BL,BL,True,13,0,1
4node,r26_BR,BR,True,17,0,1
4node,r26_F,F,True,20,0,1
4node,r26_FL,FL,True,16,0,1
4node,r26_FR,FR,True,18,0,1
4node,r26_L,L,True,16,0,1
4node,r26_R,R,True,17,0,1
4node,r27_B,B,True,754,1,0
4node,r27_BL,BL,True,35,0,1
4node,r27_BR,BR,True,140,0,1
4node,r27_F,F,True,71,0,1
4node,r27_FL,FL,True,74,0,1
4node,r27_FR,FR,True,193,0,1
4node,r27_L,L,True,20,0,1
4node,r27_R,R,True,136,0,1
4node,r28_B,B,True,489,0,1
4node,r28_BL,BL,True,67,0,1
4node,r28_BR,BR,True,233,0,1
4node,r28_F,F,True,292,0,1
4node,r28_FL,FL,True,246,0,1
4node,r28_FR,FR,True,214,0,1
4node,r28_L,L,True,25,0,1
4node,r28_R,R,True,73,0,1
4node,r29_B,B,True,165,0,1
4node,r29_BL,BL,True,11,0,1
4node,r29_BR,BR,True,27,0,1
4node,r29_F,F,True,178,0,1
4node,r29_FL,FL,True,20,0,1
4node,r29_FR,FR,True,59,0,1
4node,r29_L,L,True,15,0,1
4node,r29_R,R,True,13,0,1
4node,r30_B,B,True,193,0,1
4node,r30_BL,BL,True,48,0,1
4node,r30_BR,BR,True,64,0,1
4node,r30_F,F,True,232,0,1
4node,r30_FL,FL,True,206,0,1
4node,r30_FR,FR,True,85,0,1
4node,r30_L,L,True,15,0,1
4node,r30_R,R,True,9,0,1
4node,r31_B,B,True,120,0,1
4node,r31_BL,BL,True,10,0,1
4node,r31_BR,BR,True,13,0,1
4node,r31_F,F,True,299,0,1
4node,r31_FL,FL,True,74,0,1
4node,r31_FR,FR,True,128,0,1
4node,r31_L,L,True,12,0,1
4node,r31_R,R,True,13,0,1
astra,r00_B,B,True,1290,1,0
astra,r00_BL,BL,True,16,0,1
astra,r00_BR,BR,True,16,0,1
astra,r00_F,F,True,693,1,0
astra,r00_FL,FL,True,172,0,1
astra,r00_FR,FR,True,14,0,1
astra,r00_L,L,True,44,0,1
astra,r00_R,R,True,32,0,1
astra,r01_B,B,True,642,1,0
astra,r01_BL,BL,True,97,0,1
astra,r01_BR,BR,True,13,0,1
astra,r01_F,F,True,413,0,1
astra,r01_FL,FL,True,18,0,1
astra,r01_FR,FR,True,13,0,1
astra,r01_L,L,True,201,0,1
astra,r01_R,R,True,13,0,1
astra,r02_B,B,True,14,0,1
astra,r02_BL,BL,True,14,0,1
astra,r02_BR,BR,True,13,0,1
astra,r02_F,F,True,17,0,1
astra,r02_FL,FL,True,32,0,1
astra,r02_FR,FR,True,14,0,1
astra,r02_L,L,True,17,0,1
astra,r02_R,R,True,12,0,1
astra,r03_B,B,True,1360,1,0
astra,r03_BL,BL,True,40,0,1
astra,r03_BR,BR,True,12,0,1
astra,r03_F,F,True,13,0,1
astra,r03_FL,FL,True,167,0,1
astra,r03_FR,FR,True,11,0,1
astra,r03_L,L,True,1317,1,0
astra,r03_R,R,True,13,0,1
astra,r04_B,B,True,10,0,1
astra,r04_BL,BL,True,35,0,1
astra,r04_BR,BR,True,15,0,1
astra,r04_F,F,True,42,0,1
astra,r04_FL,FL,True,62,0,1
astra,r04_FR,FR,True,1,0,1
astra,r04_L,L,True,17,0,1
astra,r04_R,R,True,19,0,1
astra,r05_B,B,True,12,0,1
astra,r05_BL,BL,True,44,0,1
astra,r05_BR,BR,True,14,0,1
astra,r05_F,F,True,166,0,1
astra,r05_FL,FL,True,100,0,1
astra,r05_FR,FR,True,9,0,1
astra,r05_L,L,True,14,0,1
astra,r05_R,R,True,12,0,1
astra,r06_B,B,True,871,1,0
astra,r06_BL,BL,True,10,0,1
astra,r06_BR,BR,True,17,0,1
astra,r06_F,F,True,12,0,1
astra,r06_FL,FL,True,11,0,1
astra,r06_FR,FR,True,3,0,1
astra,r06_L,L,True,11,0,1
astra,r06_R,R,True,104,0,1
astra,r07_B,B,True,89,0,1
astra,r07_BL,BL,True,650,1,0
astra,r07_BR,BR,True,5,0,1
astra,r07_F,F,True,1260,1,0
astra,r07_FL,FL,True,8,0,1
astra,r07_FR,FR,True,15,0,1
astra,r07_L,L,True,3,0,1
astra,r07_R,R,True,12,0,1
astra,r08_B,B,True,1011,1,0
astra,r08_BL,BL,True,475,0,1
astra,r08_BR,BR,True,125,0,1
astra,r08_F,F,True,442,0,1
astra,r08_FL,FL,True,126,0,1
astra,r08_FR,FR,True,131,0,1
astra,r08_L,L,True,105,0,1
astra,r08_R,R,True,11,0,1
astra,r09_B,B,True,12,0,1
astra,r09_BL,BL,True,22,0,1
astra,r09_BR,BR,True,9,0,1
astra,r09_F,F,True,14,0,1
astra,r09_FL,FL,True,261,0,1
astra,r09_FR,FR,True,15,0,1
astra,r09_L,L,True,14,0,1
astra,r09_R,R,True,10,0,1
astra,r10_B,B,True,11,0,1
astra,r10_BL,BL,True,398,0,1
astra,r10_BR,BR,True,156,0,1
astra,r10_F,F,True,1624,1,0
astra,r10_FL,FL,True,318,0,1
astra,r10_FR,FR,True,679,1,0
astra,r10_L,L,True,32,0,1
astra,r10_R,R,True,500,0,1
astra,r11_B,B,False,8,0,0
astra,r11_BL,BL,False,7,0,0
astra,r11_BR,BR,False,8,0,0
astra,r11_F,F,False,7,0,0
astra,r11_FL,FL,False,10,0,0
astra,r11_FR,FR,False,6,0,0
astra,r11_L,L,False,9,0,0
astra,r11_R,R,False,7,0,0
astra,r12_B,B,True,30,0,1
astra,r12_BL,BL,True,19,0,1
astra,r12_BR,BR,True,15,0,1
astra,r12_F,F,True,21,0,1
astra,r12_FL,FL,True,11,0,1
astra,r12_FR,FR,True,12,0,1
astra,r12_L,L,True,4,0,1
astra,r12_R,R,True,3,0,1
astra,r13_B,B,True,122,0,1
astra,r13_BL,BL,True,3,0,1
astra,r13_BR,BR,True,14,0,1
astra,r13_F,F,True,11,0,1
astra,r13_FL,FL,True,42,0,1
astra,r13_FR,FR,True,12,0,1
astra,r13_L,L,True,9,0,1
astra,r13_R,R,True,9,0,1
astra,r14_B,B,True,1580,1,0
astra,r14_BL,BL,True,17,0,1
astra,r14_BR,BR,True,13,0,1
astra,r14_F,F,True,266,0,1
astra,r14_FL,FL,True,30,0,1
astra,r14_FR,FR,True,12,0,1
astra,r14_L,L,True,571,0,1
astra,r14_R,R,True,12,0,1
astra,r15_B,B,True,64,0,1
astra,r15_BL,BL,True,389,0,1
astra,r15_BR,BR,True,14,0,1
astra,r15_F,F,True,215,0,1
astra,r15_FL,FL,True,171,0,1
astra,r15_FR,FR,True,13,0,1
astra,r15_L,L,True,190,0,1
astra,r15_R,R,True,35,0,1
astra,r16_B,B,True,3,0,1
astra,r16_BL,BL,True,66,0,1
astra,r16_BR,BR,True,15,0,1
astra,r16_F,F,True,13,0,1
astra,r16_FL,FL,True,18,0,1
astra,r16_FR,FR,True,13,0,1
astra,r16_L,L,True,152,0,1
astra,r16_R,R,True,8,0,1
astra,r17_B,B,True,16,0,1
astra,r17_BL,BL,True,13,0,1
astra,r17_BR,BR,True,14,0,1
astra,r17_F,F,True,11,0,1
astra,r17_FL,FL,True,14,0,1
astra,r17_FR,FR,True,16,0,1
astra,r17_L,L,True,29,0,1
astra,r17_R,R,True,14,0,1
astra,r18_B,B,True,106,0,1
astra,r18_BL,BL,True,12,0,1
astra,r18_BR,BR,True,262,0,1
astra,r18_F,F,True,661,1,0
astra,r18_FL,FL,True,13,0,1
astra,r18_FR,FR,True,14,0,1
astra,r18_L,L,True,10,0,1
astra,r18_R,R,True,23,0,1
astra,r19_B,B,True,211,0,1
astra,r19_BL,BL,True,106,0,1
astra,r19_BR,BR,True,12,0,1
astra,r19_F,F,True,218,0,1
astra,r19_FL,FL,True,53,0,1
astra,r19_FR,FR,True,16,0,1
astra,r19_L,L,True,274,0,1
astra,r19_R,R,True,10,0,1
astra,r20_B,B,True,757,1,0
astra,r20_BL,BL,True,24,0,1
astra,r20_BR,BR,True,343,0,1
astra,r20_F,F,True,1052,1,0
astra,r20_FL,FL,True,99,0,1
astra,r20_FR,FR,True,10,0,1
astra,r20_L,L,True,10,0,1
