scene,model,base_blur,end_blur,d_blur,x_blur,B
r01_FR,ours_pca8,772.9,964.8,191.9,248.2,-248.2
r01_FR,ours_pca4,854.2,848.3,-5.9,50.4,-50.4
r01_FR,ours_pca2,486.3,390.5,-95.8,-39.5,39.5
r01_FR,ours_16node,777.0,925.8,148.8,205.10000000000002,-205.10000000000002
r01_FR,ours_4node,541.5,277.9,-263.6,-207.3,207.3
r01_FR,ours_noatok,668.8,557.7,-111.1,-54.8,54.8
r01_FR,ours_noadaln,549.5,720.6,171.0,227.3,-227.3
r01_L,astra,420.2,554.9,134.6,95.0,-95.0
r01_L,matrixgame,317.0,100.2,-216.8,-256.40000000000003,256.40000000000003
r01_L,minwm,368.0,393.5,25.5,-14.100000000000001,14.100000000000001
r01_L,worldcam,391.0,544.6,153.7,114.1,-114.1
r01_L,worldplay,424.6,414.5,-10.1,-49.7,49.7
r01_L,yume,691.4,689.9,-1.6,-41.2,41.2
r01_L,ours_pca8,611.9,851.3,239.4,199.8,-199.8
r01_L,ours_pca4,721.6,1160.8,439.3,399.7,-399.7
r01_L,ours_pca2,600.7,412.1,-188.6,-228.2,228.2
r01_L,ours_16node,782.8,1062.9,280.1,240.50000000000003,-240.50000000000003
r01_L,ours_4node,512.1,551.7,39.6,0.0,-0.0
r01_L,ours_noatok,616.7,654.1,37.4,-2.200000000000003,2.200000000000003
r01_L,ours_noadaln,653.9,696.5,42.7,3.1000000000000014,-3.1000000000000014
r01_R,astra,290.7,598.6,307.9,203.09999999999997,-203.09999999999997
r01_R,matrixgame,204.2,352.7,148.6,43.8,-43.8
r01_R,minwm,437.7,427.9,-9.9,-114.7,114.7
r01_R,worldcam,502.1,306.9,-195.1,-299.9,299.9
r01_R,worldplay,523.0,366.5,-156.4,-261.2,261.2
r01_R,yume,660.2,778.8,118.6,13.799999999999997,-13.799999999999997
r01_R,ours_pca8,603.4,1017.2,413.8,309.0,-309.0
r01_R,ours_pca4,695.7,825.5,129.8,25.000000000000014,-25.000000000000014
r01_R,ours_pca2,582.4,568.3,-14.1,-118.89999999999999,118.89999999999999
r01_R,ours_16node,724.9,933.3,208.4,103.60000000000001,-103.60000000000001
r01_R,ours_4node,510.6,517.1,6.5,-98.3,98.3
r01_R,ours_noatok,540.3,518.0,-22.3,-127.1,127.1
r01_R,ours_noadaln,557.7,662.5,104.8,0.0,-0.0
r02_B,astra,97.5,58.4,-39.1,-53.3,53.3
r02_B,matrixgame,122.6,136.8,14.2,0.0,-0.0
r02_B,minwm,254.3,304.8,50.5,36.3,-36.3
r02_B,worldcam,399.0,483.5,84.5,70.3,-70.3
r02_B,worldplay,141.1,290.8,149.7,135.5,-135.5
r02_B,yume,137.0,115.1,-21.9,-36.099999999999994,36.099999999999994
r02_B,ours_pca8,203.6,449.7,246.2,232.0,-232.0
r02_B,ours_pca4,270.7,330.6,60.0,45.8,-45.8
r02_B,ours_pca2,277.8,228.8,-49.0,-63.2,63.2
r02_B,ours_16node,237.5,308.2,70.7,56.5,-56.5
r02_B,ours_4node,249.8,139.7,-110.1,-124.3,124.3
r02_B,ours_noatok,293.6,268.8,-24.9,-39.099999999999994,39.099999999999994
r02_B,ours_noadaln,202.2,162.3,-39.9,-54.099999999999994,54.099999999999994
r02_BL,astra,127.7,153.8,26.1,-68.80000000000001,68.80000000000001
r02_BL,matrixgame,121.5,305.6,184.1,89.19999999999999,-89.19999999999999
r02_BL,minwm,203.2,290.1,86.8,-8.100000000000009,8.100000000000009
r02_BL,worldcam,237.9,545.5,307.7,212.79999999999998,-212.79999999999998
r02_BL,worldplay,142.7,219.6,76.9,-18.0,18.0
r02_BL,yume,144.5,253.6,109.1,14.199999999999989,-14.199999999999989
r02_BL,ours_pca8,270.7,492.4,221.7,126.79999999999998,-126.79999999999998
r02_BL,ours_pca4,298.0,467.3,169.3,74.4,-74.4
r02_BL,ours_pca2,266.5,361.4,94.9,0.0,-0.0
r02_BL,ours_16node,248.5,433.8,185.3,90.4,-90.4
r02_BL,ours_4node,211.0,208.0,-3.0,-97.9,97.9
r02_BL,ours_noatok,288.7,379.4,90.7,-4.200000000000003,4.200000000000003
r02_BL,ours_noadaln,202.9,209.6,6.7,-88.2,88.2
r02_BR,astra,111.4,31.1,-80.2,-69.5,69.5
r02_BR,matrixgame,63.4,108.7,45.3,56.0,-56.0
r02_BR,minwm,242.1,231.4,-10.7,0.0,-0.0
r02_BR,worldcam,258.9,183.2,-75.7,-65.0,65.0
r02_BR,worldplay,126.6,249.5,122.9,133.6,-133.6
r02_BR,yume,133.9,81.2,-52.7,-42.0,42.0
r02_BR,ours_pca8,161.2,271.5,110.3,121.0,-121.0
r02_BR,ours_pca4,198.6,379.4,180.8,191.5,-191.5
r02_BR,ours_pca2,198.1,269.9,71.8,82.5,-82.5
r02_BR,ours_16node,176.8,202.6,25.8,36.5,-36.5
r02_BR,ours_4node,159.3,64.3,-95.0,-84.3,84.3
r02_BR,ours_noatok,156.1,131.1,-25.0,-14.3,14.3
r02_BR,ours_noadaln,144.4,97.0,-47.4,-36.7,36.7
r02_F,astra,125.3,201.6,76.3,0.0,-0.0
r02_F,matrixgame,94.7,251.7,157.0,80.7,-80.7
r02_F,minwm,259.8,324.7,65.0,-11.299999999999997,11.299999999999997
r02_F,worldcam,418.4,579.5,161.2,84.89999999999999,-84.89999999999999
r02_F,worldplay,140.8,168.5,27.6,-48.699999999999996,48.699999999999996
r02_F,yume,190.4,417.6,227.1,150.8,-150.8
r02_F,ours_pca8,255.8,422.1,166.4,90.10000000000001,-90.10000000000001
r02_F,ours_pca4,217.1,371.4,154.3,78.00000000000001,-78.00000000000001
r02_F,ours_pca2,188.8,261.3,72.5,-3.799999999999997,3.799999999999997
r02_F,ours_16node,247.0,330.6,83.6,7.299999999999997,-7.299999999999997
r02_F,ours_4node,217.1,191.3,-25.8,-102.1,102.1
r02_F,ours_noatok,237.5,287.2,49.7,-26.599999999999994,26.599999999999994
r02_F,ours_noadaln,202.0,195.1,-6.9,-83.2,83.2
r02_FL,astra,119.7,86.6,-33.2,-97.3,97.3
r02_FL,matrixgame,110.2,102.5,-7.7,-71.8,71.8
r02_FL,minwm,255.5,312.5,56.9,-7.199999999999996,7.199999999999996
r02_FL,worldcam,235.4,440.8,205.5,141.4,-141.4
r02_FL,worldplay,121.2,143.2,22.1,-41.99999999999999,41.99999999999999
r02_FL,yume,142.2,206.3,64.1,0.0,-0.0
r02_FL,ours_pca8,260.7,602.3,341.6,277.5,-277.5
r02_FL,ours_pca4,261.8,518.9,257.1,193.00000000000003,-193.00000000000003
r02_FL,ours_pca2,219.4,332.2,112.8,48.7,-48.7
r02_FL,ours_16node,249.2,683.9,434.7,370.6,-370.6
r02_FL,ours_4node,161.8,212.6,50.9,-13.199999999999996,13.199999999999996
r02_FL,ours_noatok,245.5,392.3,146.9,82.80000000000001,-82.80000000000001
r02_FL,ours_noadaln,203.3,223.2,19.8,-44.3,44.3
