linear,angular,rpm_1,rpm_2,rpm_3,rpm_4,timestamp
-0.7,0,9,9,7,7,1705305001.17
-0.7,0,9,9,7,7,1705305001.27
-0.7,0,-35,-41,-50,-44,1705305001.38
-0.7,0,-35,-41,-50,-44,1705305001.47
0,0,-35,-41,-50,-44,1705305001.59
0,0,-35,-41,-50,-44,1705305001.67
0,0,-35,-41,-50,-44,1705305001.78
0,0,-35,-41,-50,-44,1705305001.88
0,0,-35,-41,-50,-44,1705305001.99
0,0,-35,-41,-50,-44,1705305002.08
0,0,-35,-41,-50,-44,1705305002.19
0,0,-35,-41,-50,-44,1705305002.29
0,0,-12,-12,-12,-13,1705305002.4
0,0,-12,-12,-12,-13,1705305002.51
0,0,-12,-12,-12,-13,1705305002.61
0,0,-1,0,-1,-1,1705305002.71
0,0,-1,0,-1,-1,1705305002.82
0,0,-1,0,-1,-1,1705305002.91
0,0,-1,0,-1,-1,1705305003.01
0,0,0,0,0,0,1705305003.12
0,0,0,0,0,0,1705305003.22
0,0,0,0,0,0,1705305003.32
0,0,0,0,0,0,1705305003.42
0,0,0,0,0,0,1705305003.52
0,0,0,0,0,0,1705305003.63
0,0,0,0,0,0,1705305003.74
0,0,0,0,0,0,1705305003.83
0,0.7,0,0,0,0,1705305003.95
0,0.7,0,0,0,0,1705305004.04
0,0.11,0,0,0,0,1705305004.13
0,0,0,0,0,0,1705305004.24
0,0.62,0,0,0,0,1705305004.34
0,0.7,0,0,0,0,1705305004.44
0,0.7,0,0,0,0,1705305004.55
0,0.7,0,0,0,0,1705305004.67
0,0.7,0,0,0,0,1705305004.75
0,0,0,0,0,0,1705305004.86
0,0,0,0,0,0,1705305004.96
0,-0.7,0,0,0,0,1705305005.06
0,-0.7,0,0,0,0,1705305005.16
0,-0.7,0,0,0,0,1705305005.27
0,-0.7,0,0,0,0,1705305005.37
0,-0.7,0,0,0,0,1705305005.47
0,0,32,-29,29,-36,1705305005.57
0,0,32,-29,29,-36,1705305005.67
0,0,32,-29,29,-36,1705305005.77
0,0,32,-29,29,-36,1705305005.88
0,0,2,-1,0,-6,1705305005.98
0,0,0,0,0,0,1705305006.08
0,0,0,0,0,0,1705305006.19
0,0,0,0,0,0,1705305006.29
0,0,0,0,0,0,1705305006.39
0,0,0,0,0,0,1705305006.49
0,0,0,0,0,0,1705305006.59
0,0,0,0,0,0,1705305006.69
0,0,0,0,0,0,1705305006.79
0,0,0,0,0,0,1705305006.89
0,0,0,0,0,0,1705305007
0,0,0,0,0,0,1705305007.12
0,0,0,0,0,0,1705305007.2
0,0,0,0,0,0,1705305007.31
0,0,0,0,0,0,1705305007.48
0,0,0,0,0,0,1705305007.58
0,0,0,0,0,0,1705305007.68
0,0,0,0,0,0,1705305007.79
0,0,0,0,0,0,1705305007.89
0,0,0,0,0,0,1705305007.99
0,0,0,0,0,0,1705305008.11
0,0,0,0,0,0,1705305008.19
0,0,0,0,0,0,1705305008.3
0,0,0,0,0,0,1705305008.4
0,0,0,0,0,0,1705305008.51
0,0,0,0,0,0,1705305008.62
0,0,0,0,0,0,1705305008.71
0,0,0,0,0,0,1705305008.81
0,0,0,0,0,0,1705305008.91
0,0,0,0,0,0,1705305009.01
0,0,0,0,0,0,1705305009.11
0,0,0,0,0,0,1705305009.21
0,0,0,0,0,0,1705305009.32
0,0,0,0,0,0,1705305009.42
0,0,0,0,0,0,1705305009.52
0,0,0,0,0,0,1705305009.62
