scene,model,static_inl,static
r02_R,astra,12,0
r02_R,matrixgame,0,0
r02_R,minwm,376,0
r02_R,worldcam,11,0
r02_R,worldplay,11,0
r02_R,yume,121,0
r02_R,ours_pca8,6,0
r02_R,ours_pca4,11,0
r02_R,ours_pca2,6,0
r02_R,ours_16node,166,0
r02_R,ours_4node,10,0
r02_R,ours_noatok,11,0
r02_R,ours_noadaln,14,0
r03_B,astra,1360,1
r03_B,matrixgame,12,0
r03_B,minwm,350,0
r03_B,worldcam,66,0
r03_B,worldplay,9,0
r03_B,yume,24,0
r03_B,ours_pca8,39,0
r03_B,ours_pca4,13,0
r03_B,ours_pca2,199,0
r03_B,ours_16node,7,0
r03_B,ours_4node,37,0
r03_B,ours_noatok,35,0
r03_B,ours_noadaln,36,0
r03_BL,astra,40,0
r03_BL,matrixgame,0,0
r03_BL,minwm,435,0
r03_BL,worldcam,16,0
r03_BL,worldplay,9,0
r03_BL,yume,13,0
r03_BL,ours_pca8,13,0
r03_BL,ours_pca4,11,0
r03_BL,ours_pca2,15,0
r03_BL,ours_16node,13,0
r03_BL,ours_4node,12,0
r03_BL,ours_noatok,54,0
r03_BL,ours_noadaln,45,0
r03_BR,astra,12,0
r03_BR,matrixgame,0,0
r03_BR,minwm,396,0
r03_BR,worldcam,13,0
r03_BR,worldplay,14,0
r03_BR,yume,11,0
r03_BR,ours_pca8,12,0
r03_BR,ours_pca4,5,0
r03_BR,ours_pca2,10,0
r03_BR,ours_16node,14,0
r03_BR,ours_4node,6,0
r03_BR,ours_noatok,9,0
r03_BR,ours_noadaln,2,0
r03_F,astra,13,0
r03_F,matrixgame,11,0
r03_F,minwm,420,0
r03_F,worldcam,234,0
r03_F,worldplay,17,0
r03_F,yume,11,0
r03_F,ours_pca8,13,0
r03_F,ours_pca4,14,0
r03_F,ours_pca2,14,0
r03_F,ours_16node,14,0
r03_F,ours_4node,18,0
r03_F,ours_noatok,12,0
r03_F,ours_noadaln,70,0
r03_FL,astra,167,0
r03_FL,matrixgame,0,0
r03_FL,minwm,321,0
r03_FL,worldcam,11,0
r03_FL,worldplay,12,0
r03_FL,yume,13,0
r03_FL,ours_pca8,15,0
r03_FL,ours_pca4,10,0
r03_FL,ours_pca2,13,0
r03_FL,ours_16node,8,0
r03_FL,ours_4node,14,0
r03_FL,ours_noatok,33,0
r03_FL,ours_noadaln,92,0
r03_FR,astra,11,0
r03_FR,matrixgame,8,0
r03_FR,minwm,525,0
r03_FR,worldcam,10,0
r03_FR,worldplay,6,0
r03_FR,yume,11,0
r03_FR,ours_pca8,12,0
r03_FR,ours_pca4,10,0
r03_FR,ours_pca2,11,0
r03_FR,ours_16node,16,0
r03_FR,ours_4node,12,0
r03_FR,ours_noatok,13,0
r03_FR,ours_noadaln,15,0
r03_L,astra,1317,1
r03_L,matrixgame,0,0
r03_L,minwm,225,0
r03_L,worldcam,12,0
r03_L,worldplay,13,0
r03_L,yume,13,0
r03_L,ours_pca8,11,0
r03_L,ours_pca4,13,0
r03_L,ours_pca2,42,0
r03_L,ours_16node,89,0
r03_L,ours_4node,12,0
r03_L,ours_noatok,15,0
r03_L,ours_noadaln,43,0
r03_R,astra,13,0
r03_R,matrixgame,0,0
r03_R,minwm,549,0
r03_R,worldcam,12,0
r03_R,worldplay,11,0
r03_R,yume,9,0
r03_R,ours_pca8,15,0
r03_R,ours_pca4,12,0
r03_R,ours_pca2,12,0
r03_R,ours_16node,13,0
r03_R,ours_4node,10,0
r03_R,ours_noatok,8,0
r03_R,ours_noadaln,11,0
r04_B,astra,10,0
r04_B,matrixgame,14,0
r04_B,minwm,568,0
r04_B,worldcam,1020,1
r04_B,worldplay,146,0
r04_B,yume,233,0
r04_B,ours_pca8,208,0
r04_B,ours_pca4,245,0
r04_B,ours_pca2,397,0
r04_B,ours_16node,197,0
r04_B,ours_4node,167,0
r04_B,ours_noatok,274,0
r04_B,ours_noadaln,457,0
r04_BL,astra,35,0
r04_BL,matrixgame,11,0
r04_BL,minwm,484,0
r04_BL,worldcam,13,0
r04_BL,worldplay,12,0
r04_BL,yume,16,0
r04_BL,ours_pca8,161,0
r04_BL,ours_pca4,178,0
r04_BL,ours_pca2,106,0
r04_BL,ours_16node,206,0
r04_BL,ours_4node,13,0
r04_BL,ours_noatok,195,0
r04_BL,ours_noadaln,411,0
r04_BR,astra,15,0
r04_BR,matrixgame,12,0
r04_BR,minwm,197,0
r04_BR,worldcam,14,0
r04_BR,worldplay,10,0
r04_BR,yume,6,0
r04_BR,ours_pca8,417,0
r04_BR,ours_pca4,159,0
r04_BR,ours_pca2,231,0
r04_BR,ours_16node,337,0
r04_BR,ours_4node,299,0
r04_BR,ours_noatok,475,0
r04_BR,ours_noadaln,158,0
r04_F,astra,42,0
r04_F,matrixgame,13,0
r04_F,minwm,498,0
r04_F,worldcam,195,0
r04_F,worldplay,151,0
r04_F,yume,12,0
r04_F,ours_pca8,249,0
r04_F,ours_pca4,249,0
r04_F,ours_pca2,274,0
r04_F,ours_16node,293,0
r04_F,ours_4node,240,0
r04_F,ours_noatok,237,0
r04_F,ours_noadaln,411,0
r04_FL,astra,62,0
r04_FL,matrixgame,8,0
r04_FL,minwm,282,0
r04_FL,worldcam,10,0
r04_FL,worldplay,11,0
r04_FL,yume,10,0
r04_FL,ours_pca8,200,0
r04_FL,ours_pca4,124,0
r04_FL,ours_pca2,90,0
r04_FL,ours_16node,108,0
r04_FL,ours_4node,76,0
r04_FL,ours_noatok,106,0
r04_FL,ours_noadaln,394,0
r04_FR,astra,1,0
r04_FR,matrixgame,12,0
